dataset_name,path,family,note,n_obs,n_vars,n_genes_used,context_col,perturbation_col,control_col,n_tasks,n_contexts,n_perturbations,n_control_contexts,role,pair
KaggleCrossCell_celltype,extra_official/cellular_context_generalization/KaggleCrossCell.h5ad,chemical_pbmc,OpenProblems-style PBMC drug panel; context is cell type.,23653,5000,1000,cell_type,condition2,control,24,5,10,5,source,KaggleCrossCell_celltype->McFarland_cellline
McFarland_cellline,extra_official/cellular_context_generalization/McFarland.h5ad,chemical_cellline,Cancer cell-line drug perturbation panel.,8464,5000,1000,condition1,condition2,,42,5,11,5,target,KaggleCrossCell_celltype->McFarland_cellline
KaggleCrossCell_celltype,extra_official/cellular_context_generalization/KaggleCrossCell.h5ad,chemical_pbmc,OpenProblems-style PBMC drug panel; context is cell type.,23653,5000,933,cell_type,condition2,control,24,5,10,5,source,KaggleCrossCell_celltype->crossPatient_patient
crossPatient_patient,extra_official/cellular_context_generalization/crossPatient.h5ad,chemical_patient,Patient-level drug response panel.,117363,5000,933,condition1,condition2,,10,6,2,6,target,KaggleCrossCell_celltype->crossPatient_patient
KaggleCrossPatient_celltype,extra_official/cellular_context_generalization/KaggleCrossPatient.h5ad,chemical_pbmc,"Same drug panel, different file; context is cell type.",25583,5000,566,cell_type,condition2,control,38,6,10,6,source,KaggleCrossPatient_celltype->sciplex3_cellline
sciplex3_cellline,extra_official/cellular_context_generalization/sciplex3.h5ad,chemical_cellline,"SciPlex3 processed subset; context is cell line, perturbation is drug identity collapsed over dose.",26046,5000,566,condition1,condition2,,27,3,9,3,target,KaggleCrossPatient_celltype->sciplex3_cellline
KaggleCrossPatient_celltype,extra_official/cellular_context_generalization/KaggleCrossPatient.h5ad,chemical_pbmc,"Same drug panel, different file; context is cell type.",25583,5000,1000,cell_type,condition2,control,38,6,10,6,source,KaggleCrossPatient_celltype->McFarland_cellline
McFarland_cellline,extra_official/cellular_context_generalization/McFarland.h5ad,chemical_cellline,Cancer cell-line drug perturbation panel.,8464,5000,1000,condition1,condition2,,42,5,11,5,target,KaggleCrossPatient_celltype->McFarland_cellline
KaggleCrossPatient_celltype,extra_official/cellular_context_generalization/KaggleCrossPatient.h5ad,chemical_pbmc,"Same drug panel, different file; context is cell type.",25583,5000,933,cell_type,condition2,control,38,6,10,6,source,KaggleCrossPatient_celltype->crossPatient_patient
crossPatient_patient,extra_official/cellular_context_generalization/crossPatient.h5ad,chemical_patient,Patient-level drug response panel.,117363,5000,933,condition1,condition2,,10,6,2,6,target,KaggleCrossPatient_celltype->crossPatient_patient
sciplex3_cellline,extra_official/cellular_context_generalization/sciplex3.h5ad,chemical_cellline,"SciPlex3 processed subset; context is cell line, perturbation is drug identity collapsed over dose.",26046,5000,566,condition1,condition2,,27,3,9,3,source,sciplex3_cellline->KaggleCrossCell_celltype
KaggleCrossCell_celltype,extra_official/cellular_context_generalization/KaggleCrossCell.h5ad,chemical_pbmc,OpenProblems-style PBMC drug panel; context is cell type.,23653,5000,566,cell_type,condition2,control,24,5,10,5,target,sciplex3_cellline->KaggleCrossCell_celltype
sciplex3_cellline,extra_official/cellular_context_generalization/sciplex3.h5ad,chemical_cellline,"SciPlex3 processed subset; context is cell line, perturbation is drug identity collapsed over dose.",26046,5000,566,condition1,condition2,,27,3,9,3,source,sciplex3_cellline->KaggleCrossPatient_celltype
KaggleCrossPatient_celltype,extra_official/cellular_context_generalization/KaggleCrossPatient.h5ad,chemical_pbmc,"Same drug panel, different file; context is cell type.",25583,5000,566,cell_type,condition2,control,38,6,10,6,target,sciplex3_cellline->KaggleCrossPatient_celltype
sciplex3_cellline,extra_official/cellular_context_generalization/sciplex3.h5ad,chemical_cellline,"SciPlex3 processed subset; context is cell line, perturbation is drug identity collapsed over dose.",26046,5000,624,condition1,condition2,,27,3,9,3,source,sciplex3_cellline->McFarland_cellline
McFarland_cellline,extra_official/cellular_context_generalization/McFarland.h5ad,chemical_cellline,Cancer cell-line drug perturbation panel.,8464,5000,624,condition1,condition2,,42,5,11,5,target,sciplex3_cellline->McFarland_cellline
sciplex3_cellline,extra_official/cellular_context_generalization/sciplex3.h5ad,chemical_cellline,"SciPlex3 processed subset; context is cell line, perturbation is drug identity collapsed over dose.",26046,5000,453,condition1,condition2,,27,3,9,3,source,sciplex3_cellline->crossPatient_patient
crossPatient_patient,extra_official/cellular_context_generalization/crossPatient.h5ad,chemical_patient,Patient-level drug response panel.,117363,5000,453,condition1,condition2,,10,6,2,6,target,sciplex3_cellline->crossPatient_patient
McFarland_cellline,extra_official/cellular_context_generalization/McFarland.h5ad,chemical_cellline,Cancer cell-line drug perturbation panel.,8464,5000,1000,condition1,condition2,,42,5,11,5,source,McFarland_cellline->KaggleCrossCell_celltype
KaggleCrossCell_celltype,extra_official/cellular_context_generalization/KaggleCrossCell.h5ad,chemical_pbmc,OpenProblems-style PBMC drug panel; context is cell type.,23653,5000,1000,cell_type,condition2,control,24,5,10,5,target,McFarland_cellline->KaggleCrossCell_celltype
McFarland_cellline,extra_official/cellular_context_generalization/McFarland.h5ad,chemical_cellline,Cancer cell-line drug perturbation panel.,8464,5000,1000,condition1,condition2,,42,5,11,5,source,McFarland_cellline->KaggleCrossPatient_celltype
KaggleCrossPatient_celltype,extra_official/cellular_context_generalization/KaggleCrossPatient.h5ad,chemical_pbmc,"Same drug panel, different file; context is cell type.",25583,5000,1000,cell_type,condition2,control,38,6,10,6,target,McFarland_cellline->KaggleCrossPatient_celltype
McFarland_cellline,extra_official/cellular_context_generalization/McFarland.h5ad,chemical_cellline,Cancer cell-line drug perturbation panel.,8464,5000,624,condition1,condition2,,42,5,11,5,source,McFarland_cellline->sciplex3_cellline
sciplex3_cellline,extra_official/cellular_context_generalization/sciplex3.h5ad,chemical_cellline,"SciPlex3 processed subset; context is cell line, perturbation is drug identity collapsed over dose.",26046,5000,624,condition1,condition2,,27,3,9,3,target,McFarland_cellline->sciplex3_cellline
McFarland_cellline,extra_official/cellular_context_generalization/McFarland.h5ad,chemical_cellline,Cancer cell-line drug perturbation panel.,8464,5000,1000,condition1,condition2,,42,5,11,5,source,McFarland_cellline->crossPatient_patient
crossPatient_patient,extra_official/cellular_context_generalization/crossPatient.h5ad,chemical_patient,Patient-level drug response panel.,117363,5000,1000,condition1,condition2,,10,6,2,6,target,McFarland_cellline->crossPatient_patient
crossPatient_patient,extra_official/cellular_context_generalization/crossPatient.h5ad,chemical_patient,Patient-level drug response panel.,117363,5000,933,condition1,condition2,,10,6,2,6,source,crossPatient_patient->KaggleCrossCell_celltype
KaggleCrossCell_celltype,extra_official/cellular_context_generalization/KaggleCrossCell.h5ad,chemical_pbmc,OpenProblems-style PBMC drug panel; context is cell type.,23653,5000,933,cell_type,condition2,control,24,5,10,5,target,crossPatient_patient->KaggleCrossCell_celltype
crossPatient_patient,extra_official/cellular_context_generalization/crossPatient.h5ad,chemical_patient,Patient-level drug response panel.,117363,5000,933,condition1,condition2,,10,6,2,6,source,crossPatient_patient->KaggleCrossPatient_celltype
KaggleCrossPatient_celltype,extra_official/cellular_context_generalization/KaggleCrossPatient.h5ad,chemical_pbmc,"Same drug panel, different file; context is cell type.",25583,5000,933,cell_type,condition2,control,38,6,10,6,target,crossPatient_patient->KaggleCrossPatient_celltype
crossPatient_patient,extra_official/cellular_context_generalization/crossPatient.h5ad,chemical_patient,Patient-level drug response panel.,117363,5000,453,condition1,condition2,,10,6,2,6,source,crossPatient_patient->sciplex3_cellline
sciplex3_cellline,extra_official/cellular_context_generalization/sciplex3.h5ad,chemical_cellline,"SciPlex3 processed subset; context is cell line, perturbation is drug identity collapsed over dose.",26046,5000,453,condition1,condition2,,27,3,9,3,target,crossPatient_patient->sciplex3_cellline
crossPatient_patient,extra_official/cellular_context_generalization/crossPatient.h5ad,chemical_patient,Patient-level drug response panel.,117363,5000,1000,condition1,condition2,,10,6,2,6,source,crossPatient_patient->McFarland_cellline
McFarland_cellline,extra_official/cellular_context_generalization/McFarland.h5ad,chemical_cellline,Cancer cell-line drug perturbation panel.,8464,5000,1000,condition1,condition2,,42,5,11,5,target,crossPatient_patient->McFarland_cellline
