old_record_id,new_record_id,predictor_name,task_key,split,old_predicted_effect_key,new_predicted_effect_key,old_true_effect_key,new_true_effect_key
v2_rec_001789,e21_rec_00013,V0StrongBaseline,sciplex3_official_3cell::task_00020,test,v2_rec_001789::predicted_effect,e21_rec_00013::predicted_effect,v2_rec_001789::true_effect,sciplex3_official_3cell::fold0::test::sciplex3_official_3cell__task_00020::true_effect
v2_rec_004019,e21_rec_00014,ContextSimBaseline,sciplex3_official_3cell::task_00029,test,v2_rec_004019::predicted_effect,e21_rec_00014::predicted_effect,v2_rec_004019::true_effect,sciplex3_official_3cell::fold0::test::sciplex3_official_3cell__task_00029::true_effect
v2_rec_001790,e21_rec_00015,V0StrongBaseline,sciplex3_official_3cell::task_00029,test,v2_rec_001790::predicted_effect,e21_rec_00015::predicted_effect,v2_rec_001790::true_effect,sciplex3_official_3cell::fold0::test::sciplex3_official_3cell__task_00029::true_effect
v2_rec_004020,e21_rec_00016,ContextSimBaseline,sciplex3_official_3cell::task_00033,test,v2_rec_004020::predicted_effect,e21_rec_00016::predicted_effect,v2_rec_004020::true_effect,sciplex3_official_3cell::fold0::test::sciplex3_official_3cell__task_00033::true_effect
v2_rec_001791,e21_rec_00017,V0StrongBaseline,sciplex3_official_3cell::task_00033,test,v2_rec_001791::predicted_effect,e21_rec_00017::predicted_effect,v2_rec_001791::true_effect,sciplex3_official_3cell::fold0::test::sciplex3_official_3cell__task_00033::true_effect
v2_rec_004021,e21_rec_00018,ContextSimBaseline,sciplex3_official_3cell::task_00034,test,v2_rec_004021::predicted_effect,e21_rec_00018::predicted_effect,v2_rec_004021::true_effect,sciplex3_official_3cell::fold0::test::sciplex3_official_3cell__task_00034::true_effect
v2_rec_001792,e21_rec_00019,V0StrongBaseline,sciplex3_official_3cell::task_00034,test,v2_rec_001792::predicted_effect,e21_rec_00019::predicted_effect,v2_rec_001792::true_effect,sciplex3_official_3cell::fold0::test::sciplex3_official_3cell__task_00034::true_effect
v2_rec_002229,e21_rec_00020,ContextSimBaseline,sciplex3_official_3cell::task_00002,train,v2_rec_002229::predicted_effect,e21_rec_00020::predicted_effect,v2_rec_002229::true_effect,sciplex3_official_3cell::fold0::train::sciplex3_official_3cell__task_00002::true_effect
v2_rec_000000,e21_rec_00021,V0StrongBaseline,sciplex3_official_3cell::task_00002,train,v2_rec_000000::predicted_effect,e21_rec_00021::predicted_effect,v2_rec_000000::true_effect,sciplex3_official_3cell::fold0::train::sciplex3_official_3cell__task_00002::true_effect
v2_rec_002230,e21_rec_00022,ContextSimBaseline,sciplex3_official_3cell::task_00003,train,v2_rec_002230::predicted_effect,e21_rec_00022::predicted_effect,v2_rec_002230::true_effect,sciplex3_official_3cell::fold0::train::sciplex3_official_3cell__task_00003::true_effect
v2_rec_000001,e21_rec_00023,V0StrongBaseline,sciplex3_official_3cell::task_00003,train,v2_rec_000001::predicted_effect,e21_rec_00023::predicted_effect,v2_rec_000001::true_effect,sciplex3_official_3cell::fold0::train::sciplex3_official_3cell__task_00003::true_effect
v2_rec_002231,e21_rec_00024,ContextSimBaseline,sciplex3_official_3cell::task_00004,train,v2_rec_002231::predicted_effect,e21_rec_00024::predicted_effect,v2_rec_002231::true_effect,sciplex3_official_3cell::fold0::train::sciplex3_official_3cell__task_00004::true_effect
v2_rec_000002,e21_rec_00025,V0StrongBaseline,sciplex3_official_3cell::task_00004,train,v2_rec_000002::predicted_effect,e21_rec_00025::predicted_effect,v2_rec_000002::true_effect,sciplex3_official_3cell::fold0::train::sciplex3_official_3cell__task_00004::true_effect
v2_rec_002232,e21_rec_00026,ContextSimBaseline,sciplex3_official_3cell::task_00005,train,v2_rec_002232::predicted_effect,e21_rec_00026::predicted_effect,v2_rec_002232::true_effect,sciplex3_official_3cell::fold0::train::sciplex3_official_3cell__task_00005::true_effect
v2_rec_000003,e21_rec_00027,V0StrongBaseline,sciplex3_official_3cell::task_00005,train,v2_rec_000003::predicted_effect,e21_rec_00027::predicted_effect,v2_rec_000003::true_effect,sciplex3_official_3cell::fold0::train::sciplex3_official_3cell__task_00005::true_effect
v2_rec_002233,e21_rec_00028,ContextSimBaseline,sciplex3_official_3cell::task_00007,train,v2_rec_002233::predicted_effect,e21_rec_00028::predicted_effect,v2_rec_002233::true_effect,sciplex3_official_3cell::fold0::train::sciplex3_official_3cell__task_00007::true_effect
v2_rec_000004,e21_rec_00029,V0StrongBaseline,sciplex3_official_3cell::task_00007,train,v2_rec_000004::predicted_effect,e21_rec_00029::predicted_effect,v2_rec_000004::true_effect,sciplex3_official_3cell::fold0::train::sciplex3_official_3cell__task_00007::true_effect
v2_rec_002234,e21_rec_00030,ContextSimBaseline,sciplex3_official_3cell::task_00009,train,v2_rec_002234::predicted_effect,e21_rec_00030::predicted_effect,v2_rec_002234::true_effect,sciplex3_official_3cell::fold0::train::sciplex3_official_3cell__task_00009::true_effect
v2_rec_000005,e21_rec_00031,V0StrongBaseline,sciplex3_official_3cell::task_00009,train,v2_rec_000005::predicted_effect,e21_rec_00031::predicted_effect,v2_rec_000005::true_effect,sciplex3_official_3cell::fold0::train::sciplex3_official_3cell__task_00009::true_effect
v2_rec_002235,e21_rec_00032,ContextSimBaseline,sciplex3_official_3cell::task_00011,train,v2_rec_002235::predicted_effect,e21_rec_00032::predicted_effect,v2_rec_002235::true_effect,sciplex3_official_3cell::fold0::train::sciplex3_official_3cell__task_00011::true_effect
v2_rec_000006,e21_rec_00033,V0StrongBaseline,sciplex3_official_3cell::task_00011,train,v2_rec_000006::predicted_effect,e21_rec_00033::predicted_effect,v2_rec_000006::true_effect,sciplex3_official_3cell::fold0::train::sciplex3_official_3cell__task_00011::true_effect
v2_rec_002236,e21_rec_00034,ContextSimBaseline,sciplex3_official_3cell::task_00014,train,v2_rec_002236::predicted_effect,e21_rec_00034::predicted_effect,v2_rec_002236::true_effect,sciplex3_official_3cell::fold0::train::sciplex3_official_3cell__task_00014::true_effect
v2_rec_000007,e21_rec_00035,V0StrongBaseline,sciplex3_official_3cell::task_00014,train,v2_rec_000007::predicted_effect,e21_rec_00035::predicted_effect,v2_rec_000007::true_effect,sciplex3_official_3cell::fold0::train::sciplex3_official_3cell__task_00014::true_effect
v2_rec_002237,e21_rec_00036,ContextSimBaseline,sciplex3_official_3cell::task_00015,train,v2_rec_002237::predicted_effect,e21_rec_00036::predicted_effect,v2_rec_002237::true_effect,sciplex3_official_3cell::fold0::train::sciplex3_official_3cell__task_00015::true_effect
v2_rec_000008,e21_rec_00037,V0StrongBaseline,sciplex3_official_3cell::task_00015,train,v2_rec_000008::predicted_effect,e21_rec_00037::predicted_effect,v2_rec_000008::true_effect,sciplex3_official_3cell::fold0::train::sciplex3_official_3cell__task_00015::true_effect
v2_rec_002238,e21_rec_00038,ContextSimBaseline,sciplex3_official_3cell::task_00017,train,v2_rec_002238::predicted_effect,e21_rec_00038::predicted_effect,v2_rec_002238::true_effect,sciplex3_official_3cell::fold0::train::sciplex3_official_3cell__task_00017::true_effect
v2_rec_000009,e21_rec_00039,V0StrongBaseline,sciplex3_official_3cell::task_00017,train,v2_rec_000009::predicted_effect,e21_rec_00039::predicted_effect,v2_rec_000009::true_effect,sciplex3_official_3cell::fold0::train::sciplex3_official_3cell__task_00017::true_effect
v2_rec_003745,e21_rec_00040,ContextSimBaseline,sciplex3_official_3cell::task_00008,val,v2_rec_003745::predicted_effect,e21_rec_00040::predicted_effect,v2_rec_003745::true_effect,sciplex3_official_3cell::fold0::val::sciplex3_official_3cell__task_00008::true_effect
v2_rec_001516,e21_rec_00041,V0StrongBaseline,sciplex3_official_3cell::task_00008,val,v2_rec_001516::predicted_effect,e21_rec_00041::predicted_effect,v2_rec_001516::true_effect,sciplex3_official_3cell::fold0::val::sciplex3_official_3cell__task_00008::true_effect
v2_rec_003746,e21_rec_00042,ContextSimBaseline,sciplex3_official_3cell::task_00013,val,v2_rec_003746::predicted_effect,e21_rec_00042::predicted_effect,v2_rec_003746::true_effect,sciplex3_official_3cell::fold0::val::sciplex3_official_3cell__task_00013::true_effect
v2_rec_001517,e21_rec_00043,V0StrongBaseline,sciplex3_official_3cell::task_00013,val,v2_rec_001517::predicted_effect,e21_rec_00043::predicted_effect,v2_rec_001517::true_effect,sciplex3_official_3cell::fold0::val::sciplex3_official_3cell__task_00013::true_effect
v2_rec_003747,e21_rec_00044,ContextSimBaseline,sciplex3_official_3cell::task_00072,val,v2_rec_003747::predicted_effect,e21_rec_00044::predicted_effect,v2_rec_003747::true_effect,sciplex3_official_3cell::fold0::val::sciplex3_official_3cell__task_00072::true_effect
v2_rec_001518,e21_rec_00045,V0StrongBaseline,sciplex3_official_3cell::task_00072,val,v2_rec_001518::predicted_effect,e21_rec_00045::predicted_effect,v2_rec_001518::true_effect,sciplex3_official_3cell::fold0::val::sciplex3_official_3cell__task_00072::true_effect
v2_rec_003748,e21_rec_00046,ContextSimBaseline,sciplex3_official_3cell::task_00079,val,v2_rec_003748::predicted_effect,e21_rec_00046::predicted_effect,v2_rec_003748::true_effect,sciplex3_official_3cell::fold0::val::sciplex3_official_3cell__task_00079::true_effect
v2_rec_001519,e21_rec_00047,V0StrongBaseline,sciplex3_official_3cell::task_00079,val,v2_rec_001519::predicted_effect,e21_rec_00047::predicted_effect,v2_rec_001519::true_effect,sciplex3_official_3cell::fold0::val::sciplex3_official_3cell__task_00079::true_effect
v2_rec_003749,e21_rec_00048,ContextSimBaseline,sciplex3_official_3cell::task_00083,val,v2_rec_003749::predicted_effect,e21_rec_00048::predicted_effect,v2_rec_003749::true_effect,sciplex3_official_3cell::fold0::val::sciplex3_official_3cell__task_00083::true_effect
v2_rec_001520,e21_rec_00049,V0StrongBaseline,sciplex3_official_3cell::task_00083,val,v2_rec_001520::predicted_effect,e21_rec_00049::predicted_effect,v2_rec_001520::true_effect,sciplex3_official_3cell::fold0::val::sciplex3_official_3cell__task_00083::true_effect
v2_rec_003750,e21_rec_00050,ContextSimBaseline,sciplex3_official_3cell::task_00103,val,v2_rec_003750::predicted_effect,e21_rec_00050::predicted_effect,v2_rec_003750::true_effect,sciplex3_official_3cell::fold0::val::sciplex3_official_3cell__task_00103::true_effect
v2_rec_001521,e21_rec_00051,V0StrongBaseline,sciplex3_official_3cell::task_00103,val,v2_rec_001521::predicted_effect,e21_rec_00051::predicted_effect,v2_rec_001521::true_effect,sciplex3_official_3cell::fold0::val::sciplex3_official_3cell__task_00103::true_effect
v2_rec_003751,e21_rec_00052,ContextSimBaseline,sciplex3_official_3cell::task_00105,val,v2_rec_003751::predicted_effect,e21_rec_00052::predicted_effect,v2_rec_003751::true_effect,sciplex3_official_3cell::fold0::val::sciplex3_official_3cell__task_00105::true_effect
v2_rec_001522,e21_rec_00053,V0StrongBaseline,sciplex3_official_3cell::task_00105,val,v2_rec_001522::predicted_effect,e21_rec_00053::predicted_effect,v2_rec_001522::true_effect,sciplex3_official_3cell::fold0::val::sciplex3_official_3cell__task_00105::true_effect
v2_rec_003752,e21_rec_00054,ContextSimBaseline,sciplex3_official_3cell::task_00121,val,v2_rec_003752::predicted_effect,e21_rec_00054::predicted_effect,v2_rec_003752::true_effect,sciplex3_official_3cell::fold0::val::sciplex3_official_3cell__task_00121::true_effect
v2_rec_001523,e21_rec_00055,V0StrongBaseline,sciplex3_official_3cell::task_00121,val,v2_rec_001523::predicted_effect,e21_rec_00055::predicted_effect,v2_rec_001523::true_effect,sciplex3_official_3cell::fold0::val::sciplex3_official_3cell__task_00121::true_effect
v2_rec_003753,e21_rec_00056,ContextSimBaseline,sciplex3_official_3cell::task_00124,val,v2_rec_003753::predicted_effect,e21_rec_00056::predicted_effect,v2_rec_003753::true_effect,sciplex3_official_3cell::fold0::val::sciplex3_official_3cell__task_00124::true_effect
v2_rec_001524,e21_rec_00057,V0StrongBaseline,sciplex3_official_3cell::task_00124,val,v2_rec_001524::predicted_effect,e21_rec_00057::predicted_effect,v2_rec_001524::true_effect,sciplex3_official_3cell::fold0::val::sciplex3_official_3cell__task_00124::true_effect
v2_rec_003754,e21_rec_00058,ContextSimBaseline,sciplex3_official_3cell::task_00131,val,v2_rec_003754::predicted_effect,e21_rec_00058::predicted_effect,v2_rec_003754::true_effect,sciplex3_official_3cell::fold0::val::sciplex3_official_3cell__task_00131::true_effect
v2_rec_001525,e21_rec_00059,V0StrongBaseline,sciplex3_official_3cell::task_00131,val,v2_rec_001525::predicted_effect,e21_rec_00059::predicted_effect,v2_rec_001525::true_effect,sciplex3_official_3cell::fold0::val::sciplex3_official_3cell__task_00131::true_effect
